"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","25","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 17:06:22 GMT 2024","Fri Feb 23 17:06:22 GMT 2024","51","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidNameShouldBeAvailable","creatingBuildConfigurationWithValidNameShouldBeAvailable","Creating build configuration with valid name should be available"
"passed","Fri Feb 23 17:06:23 GMT 2024","Fri Feb 23 17:06:23 GMT 2024","72","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidNameShouldBeAvailable","creatingBuildConfigurationWithValidNameShouldBeAvailable","Creating build configuration with valid name should be available"
"passed","Fri Feb 23 17:06:26 GMT 2024","Fri Feb 23 17:06:26 GMT 2024","49","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithNonUniqueIdShouldNotBeAvailable","creatingProjectWithNonUniqueIdShouldNotBeAvailable","Creating project with non unique should not be available"
"passed","Fri Feb 23 17:06:16 GMT 2024","Fri Feb 23 17:06:19 GMT 2024","3062","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationInArchivedProjectShouldBeAvailable","creatingBuildConfigurationInArchivedProjectShouldBeAvailable","Creating build configuration in archived project should be available"
"failed","Fri Feb 23 17:06:20 GMT 2024","Fri Feb 23 17:06:20 GMT 2024","79","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Fri Feb 23 17:06:26 GMT 2024","Fri Feb 23 17:06:26 GMT 2024","73","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidNameAsLocatorShouldBeAvailable","creatingProjectWithValidNameAsLocatorShouldBeAvailable","Creating project with valid locator name should be available"
"failed","Fri Feb 23 17:06:29 GMT 2024","Fri Feb 23 17:06:29 GMT 2024","64","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightsToCreateBuildConfig","unauthorizedUserShouldNotHaveRightsToCreateBuildConfig","Unauthorized user should not have rights to create build configuration"
"failed","Fri Feb 23 17:06:20 GMT 2024","Fri Feb 23 17:06:20 GMT 2024","53","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Fri Feb 23 17:04:27 GMT 2024","Fri Feb 23 17:04:41 GMT 2024","13944","Surefire suite","Surefire test","com.example.teamcity.setup.AgentSetupTest","com.example.teamcity.setup.AgentSetupTest","authorizeAgentTest","authorizeAgentTest","Authorization agent after setup infra"
"failed","Fri Feb 23 17:06:25 GMT 2024","Fri Feb 23 17:06:25 GMT 2024","15","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"passed","Fri Feb 23 17:06:29 GMT 2024","Fri Feb 23 17:06:29 GMT 2024","88","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","nonAdminShouldNotHaveRightsToCreateProject","nonAdminShouldNotHaveRightsToCreateProject","Non admin should not have rights to create project"
"failed","Fri Feb 23 17:06:25 GMT 2024","Fri Feb 23 17:06:26 GMT 2024","19","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"failed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","13","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 17:06:22 GMT 2024","Fri Feb 23 17:06:22 GMT 2024","116","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidIdShouldBeAvailable","creatingBuildConfigurationWithValidIdShouldBeAvailable","Creating build configuration with valid id should be available"
"passed","Fri Feb 23 17:06:24 GMT 2024","Fri Feb 23 17:06:24 GMT 2024","252","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithoutIdWillUseNameAsId","creatingBuildConfigurationWithoutIdWillUseNameAsId","When create build configuration without id it's name will be used as id"
"passed","Fri Feb 23 17:06:27 GMT 2024","Fri Feb 23 17:06:27 GMT 2024","140","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidNameAsLocatorShouldBeAvailable","creatingProjectWithValidNameAsLocatorShouldBeAvailable","Creating project with valid locator name should be available"
"passed","Fri Feb 23 17:06:28 GMT 2024","Fri Feb 23 17:06:28 GMT 2024","29","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithoutCopyAllAssociatedSettingsShouldBeAvailable","creatingProjectWithoutCopyAllAssociatedSettingsShouldBeAvailable","Creating project without copy all associated settings should be available"
"passed","Fri Feb 23 17:06:25 GMT 2024","Fri Feb 23 17:06:25 GMT 2024","17","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidAcceptHeaderShouldNotBeAvailable","creatingProjectWithInvalidAcceptHeaderShouldNotBeAvailable","Creating project with invalid Accept header should not be available"
"passed","Fri Feb 23 17:06:29 GMT 2024","Fri Feb 23 17:06:29 GMT 2024","85","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","Project admin should have rights to create build configuration"
"failed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","16","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 17:06:22 GMT 2024","Fri Feb 23 17:06:22 GMT 2024","109","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidNameShouldBeAvailable","creatingBuildConfigurationWithValidNameShouldBeAvailable","Creating build configuration with valid name should be available"
"passed","Fri Feb 23 17:06:26 GMT 2024","Fri Feb 23 17:06:26 GMT 2024","71","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidIdShouldBeAvailable","creatingProjectWithValidIdShouldBeAvailable","Creating project with valid id should be available"
"failed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","14","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 17:05:32 GMT 2024","Fri Feb 23 17:05:50 GMT 2024","17921","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","creatingBuildConfigurationWithStepsShouldBeAvailable","creatingBuildConfigurationWithStepsShouldBeAvailable","Creating build configuration with steps should be available"
"failed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","14","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","41","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidNameShouldNotBeAvailable","creatingBuildConfigurationWithInvalidNameShouldNotBeAvailable","Creating build configuration with invalid name should not be available"
"passed","Fri Feb 23 17:06:22 GMT 2024","Fri Feb 23 17:06:22 GMT 2024","64","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidNameShouldBeAvailable","creatingBuildConfigurationWithValidNameShouldBeAvailable","Creating build configuration with valid name should be available"
"failed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","20","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","15","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"failed","Fri Feb 23 17:06:29 GMT 2024","Fri Feb 23 17:06:29 GMT 2024","165","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","Project admin should not have rights to create build configuration not in his project"
"failed","Fri Feb 23 17:05:50 GMT 2024","Fri Feb 23 17:05:56 GMT 2024","6593","UI Suite","UI Test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject","Authorized user should be able to create new project"
"failed","Fri Feb 23 17:06:26 GMT 2024","Fri Feb 23 17:06:26 GMT 2024","18","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"passed","Fri Feb 23 17:02:17 GMT 2024","Fri Feb 23 17:03:17 GMT 2024","59961","Surefire suite","Surefire test","com.example.teamcity.setup.TeamcitySetupTest","com.example.teamcity.setup.TeamcitySetupTest","startUpTest","startUpTest","Startup TeamCity server and accept license"
"failed","Fri Feb 23 17:06:26 GMT 2024","Fri Feb 23 17:06:26 GMT 2024","17","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"failed","Fri Feb 23 17:06:25 GMT 2024","Fri Feb 23 17:06:25 GMT 2024","18","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"passed","Fri Feb 23 17:06:28 GMT 2024","Fri Feb 23 17:06:28 GMT 2024","101","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingTwoProjectsWithSameNameInDifferentParentsShouldBeAvailable","creatingTwoProjectsWithSameNameInDifferentParentsShouldBeAvailable","Creating two projects with same name in different parent projects should be available"
"failed","Fri Feb 23 17:06:25 GMT 2024","Fri Feb 23 17:06:25 GMT 2024","24","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"passed","Fri Feb 23 17:06:26 GMT 2024","Fri Feb 23 17:06:26 GMT 2024","34","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidNameShouldNotBeAvailable","creatingProjectWithInvalidNameShouldNotBeAvailable","Creating project with invalid name should not be available"
"failed","Fri Feb 23 17:06:21 GMT 2024","Fri Feb 23 17:06:21 GMT 2024","50","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Fri Feb 23 17:06:23 GMT 2024","Fri Feb 23 17:06:23 GMT 2024","66","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidProjectIdShouldBeAvailable","creatingBuildConfigurationWithValidProjectIdShouldBeAvailable","Creating build configuration with valid project id should be available"
"passed","Fri Feb 23 17:06:23 GMT 2024","Fri Feb 23 17:06:23 GMT 2024","68","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidNameShouldBeAvailable","creatingBuildConfigurationWithValidNameShouldBeAvailable","Creating build configuration with valid name should be available"
"passed","Fri Feb 23 17:06:24 GMT 2024","Fri Feb 23 17:06:24 GMT 2024","77","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingTwoBuildConfigurationWithNonUniqueIdShouldNotBeAvailable","creatingTwoBuildConfigurationWithNonUniqueIdShouldNotBeAvailable","Creating two build configurations with non unique id should not be available"
"passed","Fri Feb 23 17:06:27 GMT 2024","Fri Feb 23 17:06:27 GMT 2024","90","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidNameAsLocatorShouldBeAvailable","creatingProjectWithValidNameAsLocatorShouldBeAvailable","Creating project with valid locator name should be available"
"passed","Fri Feb 23 17:06:26 GMT 2024","Fri Feb 23 17:06:26 GMT 2024","48","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidIdShouldBeAvailable","creatingProjectWithValidIdShouldBeAvailable","Creating project with valid id should be available"
"passed","Fri Feb 23 17:06:28 GMT 2024","Fri Feb 23 17:06:28 GMT 2024","51","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithoutIdWillUseNameAsId","creatingProjectWithoutIdWillUseNameAsId","When create project without id it's name will be used as id"
"passed","Fri Feb 23 17:06:28 GMT 2024","Fri Feb 23 17:06:28 GMT 2024","57","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithoutParentWillBeCreatedInRoot","creatingProjectWithoutParentWillBeCreatedInRoot","Creating project without specifying parent will be create in Root"
"failed","Fri Feb 23 17:06:20 GMT 2024","Fri Feb 23 17:06:20 GMT 2024","49","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Fri Feb 23 17:06:25 GMT 2024","Fri Feb 23 17:06:25 GMT 2024","11","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithEmptyBodyShouldNotBeAvailable","creatingProjectWithEmptyBodyShouldNotBeAvailable","Creating project with empty body should not be available"
"passed","Fri Feb 23 17:06:20 GMT 2024","Fri Feb 23 17:06:20 GMT 2024","30","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidAcceptHeaderShouldNotBeAvailable","creatingBuildConfigurationWithInvalidAcceptHeaderShouldNotBeAvailable","Creating build configuration with invalid Accept header should not be available"
"passed","Fri Feb 23 17:06:25 GMT 2024","Fri Feb 23 17:06:25 GMT 2024","69","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithArchivedProjectsDataShouldNotBeAvailable","creatingProjectWithArchivedProjectsDataShouldNotBeAvailable","Creating project with archived project data should not be available"
"failed","Fri Feb 23 17:06:20 GMT 2024","Fri Feb 23 17:06:20 GMT 2024","50","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Fri Feb 23 17:06:29 GMT 2024","Fri Feb 23 17:06:29 GMT 2024","118","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject","System admin should have rights to create project"
